date,open,high,low,close
2006-12-29,3.1482,3.13,3.0461,3.04
2007-01-03,3.09,3.096,3.057,3.1384
2007-01-04,3.0537,3.1389,3.0702,3.0914
2007-01-05,3.1644,3.2022,3.1537,3.1733
2007-01-08,3.21,3.1876,3.0715,3.1327
2007-01-09,3.1875,3.4525,3.0949,3.3849
2007-01-10,3.3944,3.5933,3.3488,3.4821
2007-01-11,3.5108,3.4636,3.41,3.5359
2007-01-12,3.5037,3.528,3.3504,3.5204
2007-01-16,3.5615,3.5802,3.5674,3.486
2007-01-17,3.4858,3.5271,3.4493,3.4192
2007-01-18,3.2778,3.3127,3.1876,3.3053
2007-01-19,3.287,3.2521,3.2813,3.2726
2007-01-22,3.2282,3.2113,3.115,3.1011
2007-01-23,3.2001,3.2649,3.1173,3.1393
2007-01-24,3.1088,3.2041,3.124,3.1296
2007-01-25,3.2422,3.2335,3.105,3.1601
2007-01-26,3.256,3.2714,3.1427,3.1838
2007-01-29,3.0981,3.2381,3.1737,3.1258
2007-01-30,3.1583,3.2105,3.162,3.1172
2007-01-31,3.0853,3.1878,3.1008,3.1974
2007-02-01,3.1835,3.1357,3.0683,3.0965
2007-02-02,3.0356,3.1429,3.1135,3.1395
2007-02-05,3.1333,3.1452,3.0201,3.1409
2007-02-06,3.0648,3.0416,3.0668,3.1399
2007-02-07,3.0551,3.122,3.0409,3.1754
2007-02-08,3.1761,3.2014,3.1861,3.222
2007-02-09,3.1989,3.1056,3.0023,3.0656
2007-02-12,3.1644,3.1009,3.0016,3.1744
2007-02-13,3.0621,3.1944,3.1333,3.0781
2007-02-14,3.0869,3.1746,3.1666,3.0732
2007-02-15,3.0641,3.2019,3.0779,3.1295
2007-02-16,3.0602,3.1659,3.1396,3.1511
2007-02-20,3.1334,3.0953,3.0812,3.08
2007-02-21,3.196,3.3256,3.1,3.2387
2007-02-22,3.2469,3.3764,3.175,3.29
2007-02-23,3.3076,3.2684,3.2222,3.33
2007-02-26,3.3319,3.2974,3.2208,3.2921
2007-02-27,3.1901,3.25,3.054,3.0181
2007-02-28,3.1357,3.0619,2.9915,3.1326
2007-03-01,3.1724,3.221,3.0131,3.2575
2007-03-02,3.1025,3.2061,3.1136,3.0509
2007-03-05,3.1587,3.1872,3.1307,3.19
2007-03-06,3.2334,3.1863,3.1253,3.2148
2007-03-07,3.2285,3.1782,3.2485,3.2562
2007-03-08,3.2786,3.2239,3.237,3.228
2007-03-09,3.2551,3.2262,3.2729,3.1979
2007-03-12,3.2503,3.2531,3.2734,3.3092
2007-03-13,3.2595,3.2521,3.2327,3.3027
2007-03-14,3.2381,3.2484,3.15,3.3378
2007-03-15,3.3741,3.3376,3.3064,3.213
2007-03-16,3.2198,3.3713,3.25,3.3518
2007-03-19,3.2748,3.2815,3.2302,3.3797
2007-03-20,3.4064,3.38,3.3022,3.3715
2007-03-21,3.3791,3.3575,3.3435,3.4681
2007-03-22,3.4906,3.47,3.4756,3.4714
2007-03-23,3.478,3.3614,3.4641,3.49
2007-03-26,3.5566,3.567,3.4744,3.5458
2007-03-27,3.5916,3.6233,3.3941,3.4191
2007-03-28,3.5019,3.5348,3.4273,3.36
2007-03-29,3.465,3.3639,3.3282,3.3975
2007-03-30,3.4733,3.4615,3.4606,3.3883
2007-04-02,3.4191,3.4889,3.4477,3.4214
2007-04-03,3.3664,3.564,3.4518,3.542
2007-04-04,3.4831,3.4142,3.3686,3.5089
2007-04-05,3.48,3.5185,3.46,3.5062
2007-04-09,3.3934,3.4072,3.4225,3.4648
2007-04-10,3.3791,3.4643,3.4901,3.5335
2007-04-11,3.5166,3.4474,3.3283,3.393
2007-04-12,3.4627,3.4151,3.37,3.4079
2007-04-13,3.2763,3.2661,3.2256,3.2285
2007-04-16,3.2919,3.4225,3.228,3.3556
2007-04-17,3.2562,3.342,3.2687,3.242
2007-04-18,3.3349,3.3283,3.3,3.27
2007-04-19,3.2805,3.3915,3.3375,3.2758
2007-04-20,3.3937,3.283,3.3551,3.381
2007-04-23,3.37,3.51,3.306,3.4638
2007-04-24,3.4771,3.5928,3.3467,3.43
2007-04-25,3.5086,3.5512,3.4,3.4364
2007-04-26,3.8329,3.7424,3.542,3.69
2007-04-27,3.6776,3.713,3.5851,3.586
2007-04-30,3.7123,3.6112,3.6051,3.7264
2007-05-01,3.7742,3.6951,3.5439,3.6131
2007-05-02,3.7014,3.7248,3.6836,3.6936
2007-05-03,3.6948,3.7001,3.6195,3.5993
2007-05-04,3.6399,3.8026,3.7329,3.7223
2007-05-07,3.6091,3.8116,3.6891,3.8431
2007-05-08,3.7758,3.8534,3.7272,3.935
2007-05-09,3.9044,3.87,3.7851,3.9874
